"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Tabula Muris Senis FACS Kidney counts","Count matrix for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Kidney processed counts","Processed count matrix for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Kidney rowData","Gene annotation for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Kidney PCA","PCA representation for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Kidney tSNE","tSNE representation for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Kidney UMAP","UMAP representation for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Diaphragm colData","Sample metadata for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Diaphragm counts","Count matrix for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Diaphragm processed counts","Processed count matrix for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Diaphragm rowData","Gene annotation for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Diaphragm PCA","PCA representation for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Diaphragm tSNE","tSNE representation for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Diaphragm UMAP","UMAP representation for the Tabula Muris Senis FACS Diaphragm scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Diaphragm_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS BAT colData","Sample metadata for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS BAT counts","Count matrix for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS BAT processed counts","Processed count matrix for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS BAT rowData","Gene annotation for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS BAT PCA","PCA representation for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS BAT tSNE","tSNE representation for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS BAT UMAP","UMAP representation for the Tabula Muris Senis FACS BAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/BAT_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Spleen colData","Sample metadata for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Spleen counts","Count matrix for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Spleen processed counts","Processed count matrix for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Spleen rowData","Gene annotation for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Spleen PCA","PCA representation for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Spleen tSNE","tSNE representation for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Spleen UMAP","UMAP representation for the Tabula Muris Senis FACS Spleen scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Spleen_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Limb_Muscle colData","Sample metadata for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Limb_Muscle counts","Count matrix for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Limb_Muscle processed counts","Processed count matrix for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Limb_Muscle rowData","Gene annotation for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Limb_Muscle PCA","PCA representation for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Limb_Muscle tSNE","tSNE representation for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Limb_Muscle UMAP","UMAP representation for the Tabula Muris Senis FACS Limb_Muscle scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Limb_Muscle_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Liver colData","Sample metadata for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Liver counts","Count matrix for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Liver processed counts","Processed count matrix for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Liver rowData","Gene annotation for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Liver PCA","PCA representation for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Liver tSNE","tSNE representation for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Liver UMAP","UMAP representation for the Tabula Muris Senis FACS Liver scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Liver_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS MAT colData","Sample metadata for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS MAT counts","Count matrix for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS MAT processed counts","Processed count matrix for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS MAT rowData","Gene annotation for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS MAT PCA","PCA representation for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS MAT tSNE","tSNE representation for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS MAT UMAP","UMAP representation for the Tabula Muris Senis FACS MAT scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/MAT_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Thymus colData","Sample metadata for the Tabula Muris Senis FACS Thymus scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Thymus_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Thymus counts","Count matrix for the Tabula Muris Senis FACS Thymus scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Thymus_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Thymus processed counts","Processed count matrix for the Tabula Muris Senis FACS Thymus scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Thymus_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
